STATE,COUNTY,TRACT,NAME,ct10,ct9,MSSAdef,NCHS_County,NCHS_CBSA,NCHS_2013code,NCHS_2006code,NCHS_1990basedcode,NCHS2013_text
6,65,43229,432.29,6065043229,65043229,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,41,106002,1060.02,6041106002,41106002,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,107000,1070,6041107000,41107000,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,108200,1082,6041108200,41108200,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,109001,1090.01,6041109001,41109001,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,109002,1090.02,6041109002,41109002,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,110100,1101,6041110100,41110100,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,110200,1102,6041110200,41110200,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,111000,1110,6041111000,41111000,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,112201,1122.01,6041112201,41112201,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,112202,1122.02,6041112202,41112202,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,113000,1130,6041113000,41113000,Rural,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,114100,1141,6041114100,41114100,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,114200,1142,6041114200,41114200,Rural,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
6,41,115000,1150,6041115000,41115000,Urban,Marin County,"San Francisco-Oakland-Hayward, CA",2,2,2,Large fringe metro
